Reference Title,Reference Link,Short Title,Description of Patient Harm,Direct Quote,Time Point,Speciality,Technical Domain,Clinical Impact Score
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Reduced OR capacity impacting tumour surgeries,"Laboratory team staff responsible for intra-operative pathology for tumour surgeries / biopsies, report reduced capacity and delays in care during the cyberattacl","Our inability to get timely updates of daily (and often hourly) changes in OR scheduling made preparation and management of resources for intraoperative support extremely difficult. Although inefficient, over time, the process did become more reliable. The ORs continued to function and shifted from 50% to 75% capacity within the first 2 weeks of the downtime.",First Week,Oncology; General Surgery,Operating Rooms,8
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Loss of critical radiology for neurosurgical and orthopaedic patients,"The loss of imaging support for pre-operative diagnosis, planning and intra-operative procedures significantly affected orthopedic and neurosurgery cases","The ICT huddled daily in the first 3 weeks of the cyberattack, discussing daily OR capacity and ancillary service support. They were limited by slower processes as well as the need for preoperative COVID-19 testing (the downtime regrettably coincided with the COVID-19 pandemic). Additionally, critical radiology support for orthopedic and neurosurgery cases was severely limited by loss of the PACS, which required careful triaging of surgical cases throughout each week. ",First Week,Orthopaedics; Neurology; General Surgery,Imaging,7
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Cancelled chemotherapy due to lost infusion schedules,"Difficulty accessing infusion schedules and chemotherapy dosing, requiring transfers to other hospitals.","Oncology units struggled without access to scheduling or infusion schedules, and an ICT was created to coordinate efforts between the transdisciplinary oncology teams and hospital operations locally and regionally within the UVM Health Network. Cancer care resources at the main campus became limited, and patients had to be referred to other UVM Health Network hospitals.",First Day,Oncology,ePrescribing,8
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Delayed pathology results & backlog of tests,Delays in laboratory reporting for blood and specimens results.,"These departments could continue normal workflows with paper charting, while the lab’s typical downtime process was to stand down. As the specimens continued to pile up, we quickly realized that we needed to adjust volumes, workflow, and staffing.  With the systems down, everything in the AP laboratory became manual, from accessioning to tracking specimens to writing reports and transmitting results. Our workforce needs doubled but also shifted across tasks and skills required, resulting in cross-training and redeploying of staff in different areas of the laboratory.",First Week,All,Laboratory Systems,8
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Patients lose contact with specialist care,Patients unable to contact specialist services regarding clinical issues,"Unfortunately, the outage also affected the phone systems. The phone system is voice over internet protocol and thus depended on the computer network, which resulted in loss of phone access in the initial days of the cyberattack. To assist with the volume of phone inquiries, the Medical Center’s central ICT, along with the Office of Patient and Family Advocacy, coordinated a centralized phone-answering service that patients could call with questions and concerns. ",First Day,Oncology,Communications,6
Anatomy of a Cyberattack,https://academic.oup.com/ajcp/article/157/6/814/6533555,Laboratory Staffing Crisis,"Lack of laboratory staff leading to delays in results, including cervical cancer smears and biopsy results.","Our workforce needs doubled but also shifted across tasks and skills required, resulting in cross-training and redeploying of staff in different areas of the laboratory. In accessioning, every case was handwritten, logged, and double-checked for quality assurance. Grossing specimens required both a prosector and a scribe. Histologists handwrote slides, and pathologists handwrote or typed and printed reports. AP laboratory support staff typed every report in a template for resulting; these reports were then individually copied, faxed, and filed.",First Week,All,Laboratory Systems,6
"Anatomy of a Cyberattack Part 3: Coordination in Crisis, Development of an Incident Command Team, and Resident Education During Downtime",https://pubmed.ncbi.nlm.nih.gov/35188562/,Cancer patients cannot phone specialists regarding biopsies and new diagnoses,"The laboratory phone systems were impacted by the cyberattack, preventing internal communication and receipt of phone calls from patients and relatives in the community As a result, patients inquiring about biopsy results and new cancer diagnoses could not speak with specialists.","Unfortunately, the outage also affected the phone systems. The phone system is voice over internet protocol and thus depended on the computer network, which resulted in loss of phone access in the initial days of the cyberattack. To assist with the volume of phone inquiries, the Medical Center’s central ICT, along with the Office of Patient and Family Advocacy, coordinated a centralized phone-answering service that patients could call with questions and concerns. To assist patients with new cancer diagnoses during this time, additional communication procedures were established within the *** Cancer Center and our transdisciplinary cancer teams to link radiology and oncologic resources across the *** Health Network, including our sites in *** and *** state, to help support cancer care across our region while electronic communications and systems were down.",First Week,Oncology,Hospital Infrastructure,4
"Anatomy of a Cyberattack Part 3: Coordination in Crisis, Development of an Incident Command Team, and Resident Education During Downtime",https://pubmed.ncbi.nlm.nih.gov/35188562/,Failures in intra-operative pathology support precluding key surgical decision making (e.g. tumour margins).,"During surgical operations the anatomic pathology (AP) team usually provide rapid frozen section diagnoses to guide real-time decisions (for instance, determining tumour margins in resections). Loss of IT and disrupted surgical schedules, plus lost communications between the lab and surgeons, lead to increased risks of surgical delays, suboptimal outcomes and mislabeled samples.","Given the lack of connectivity, the OR schedules were constructed daily after these huddles, distributed on paper, and sent to the surgical pathology suite by fax. This transmission was inconsistent, however, and ultimately the perioperative team resorted to hand-delivering schedules to the AP team weekly. Our inability to get timely updates of daily (and often hourly) changes in OR scheduling made preparation and management of resources for intraoperative support extremely difficult. Although inefficient, over time, the process did become more reliable. The ORs continued to function and shifted from 50% to 75% capacity within the first 2 weeks of the downtime.",First Week,General Surgery; Oncology,Laboratory Systems,6
"Anatomy of a Cyberattack Part 3: Coordination in Crisis, Development of an Incident Command Team, and Resident Education During Downtime",https://pubmed.ncbi.nlm.nih.gov/35188562/,Laboratory Staffing Crisis,"The pressures to manual label and process specimens and results led to significant staff shortages in the laboratories, potentiating further delays.","With the systems down, everything in the AP laboratory became manual, from accessioning to tracking specimens to writing reports and transmitting results. Our workforce needs doubled but also shifted across tasks and skills required, resulting in cross-training and redeploying of staff in different areas of the laboratory. In accessioning, every case was handwritten, logged, and double-checked for quality assurance. Grossing specimens required both a prosector and a scribe. Histologists handwrote slides, and pathologists handwrote or typed and printed reports. AP laboratory support staff typed every report in a template for resulting; these reports were then individually copied, faxed, and filed. Fortunately for us, we were able to on-board “volunteers” (300 individuals were furloughed from their current position in other units because of the downtime) to assist. For example, because the Papanicolaou test samples were being sent to a reference lab off-site, the cytotechnologists and cytology staff were available to keep the AP call center running and field difficult inquiries. // During the ensuing 4 weeks of the cyberattack, the residents were an essential resource in ensuring the proper functioning of many newly created manual processes. In CP, the residents filled many roles in the manual resulting process, but their largest role was in the triaging and researching of results requests from both in-house and outpatient providers. The majority of residents on CP services were moved into a single pool to support the massive amount of requests coming into the lab each day.",First Week,All,Laboratory Systems,5
Anatomy of a Cyberattack: Part 2: Managing a Clinical Pathology Laboratory During 25 Days of Downtime,https://academic.oup.com/ajcp/article/157/5/653/6533594,Loss of pneumatic tube system for sending/recieving patient specimens,Delays in patients receiving test results and heightened risk of errors,"A networked server “drives” the pneumatic tube system. As part of the cyberattack remediation and recovery efforts, that server was powered off, which disabled the tube system. Without a functioning pneumatic tube system for automated delivery of patient specimens to the CL, the laboratory had to quickly coordinate with Hospital Incident Command and hospital facilities to develop and implement “runners” (literally, people to run the halls) throughout the hospital to retrieve specimens from inpatient and on-site ambulatory care locations and deliver them to the laboratory. These runners also delivered patient results to inpatient and ambulatory care sites unable to receive faxes.",First Day,All,Hospital Infrastructure,6
Anatomy of a Cyberattack: Part 2: Managing a Clinical Pathology Laboratory During 25 Days of Downtime,https://academic.oup.com/ajcp/article/157/5/653/6533594,"Loss of reference information/protocols for tests, raising risk of incorrect result interpretation","Loss of hospital intranet protocols and reference ranges on tests, increasing risk of medical errors","Reports lacked critical information that clinicians need to evaluate and interpret results (eg, normal reference range).",First Week,All,Laboratory Systems,7
Anatomy of a Cyberattack: Part 2: Managing a Clinical Pathology Laboratory During 25 Days of Downtime,https://academic.oup.com/ajcp/article/157/5/653/6533594,"Failures in refrigeration and computerised temperature tracking, impacting lab resources",Reduced functionality of laboratory refrigeration systems can impact storage of patient specimens (leading to incorrect results) and vital resources (e.g. blood products).,"Don’t Forget About Your Thermometers:  Refrigerators, freezers, and room-temperature monitoring are typically automated using a computerized temperature tracking system. This system was unavailable during the downtime; thus, the laboratory had to reinstitute manual temperature-monitoring processes. The laboratory lacked a sufficient number of certified thermometers and had to resort to locally purchased thermometers. As time allowed, the laboratory worked to validate the accuracy of the purchased thermometers.",First Day,All,Hospital Infrastructure,6
Anatomy of a Cyberattack: Part 2: Managing a Clinical Pathology Laboratory During 25 Days of Downtime,https://academic.oup.com/ajcp/article/157/5/653/6533594,Staff Burnout and Risk of Medical Errors,"Increased burden of moving to paper-based procedures impacting staff and causing fatigue, raising risk of errors","Over time, everyone’s fatigue began to show. Therefore, when the manual workflows stabilized, it became necessary to allow ample time between shifts and provide at least 1 day off per week for laboratory staff.",Week 2,All,Laboratory Systems,7
Anatomy of a Cyberattack: Part 2: Managing a Clinical Pathology Laboratory During 25 Days of Downtime,https://academic.oup.com/ajcp/article/157/5/653/6533594,Systems unable to calculate key clinical metrics (GFR),Systems unable to process usual calculations (e.g. GFR) impacting renal patients and loss of urine culture.,"With the LIS and EHR system disabled, the laboratory could not provide calculated results, such as estimated glomerular filtration rate, low-density lipoprotein, and transferrin saturation. Along with calculated results, the laboratory could not perform reflex testing (based on the rules programed in the LIS). For example, the laboratory no longer automatically performed a urine culture following a positive urine chemical analysis (eg, urine “dip”). ",First Week,General Medicine; All,Laboratory Systems,7
Breast Imaging During a Cyberattack and Global Pandemic: What We Did to Pick Up the Pieces,https://www.sciencedirect.com/science/article/pii/S0887217122000750,Breast MRI and MRI Guided Biopsies canceled for suspected cancer patients,"The loss of previous imaging and the health records system meant that Breast MRI Imaging and biopsies were cancelled, with potential adverse affects for those with aggressive tumours. ","All breast MRI was put on hold and MRI-guided biopsies were determined to be impossible to perform due to lack of access to prior studies. Reports for all diagnostic studies and procedures were hand-written by the breast imaging radiologists, and filed securely in locked cabinets. Likewise, pathologic concordance for biopsies was determined by the breast imaging radiologists, and that information was transmitted by telephone to the patients and referring providers.",First Day,Oncology; General Surgery,Health Records,7
Breast Imaging During a Cyberattack and Global Pandemic: What We Did to Pick Up the Pieces,https://www.sciencedirect.com/science/article/pii/S0887217122000750,Mammography modalities and wider breast imaging becomes unavailable,"Staff report that workstations and imaging tools for perform mammographies and breast screening were infiltrated by malware, and thefore unusuable from day 10 to week 5","Approximately 10 days into the cyberattack downtime, it was determined that the mammography modalities, as well as the stand-alone breast imaging workstations, had also been infiltrated by the malware, and were not safe or suitable to use. From this point through the remaining duration of the downtime, a period of approximately 4 additional weeks, it was not possible to perform breast imaging at our institution, as the modalities and workstations needed to be cleaned of the malware and reimaged. Patients were notified through media and social media outreach from the hospital that breast imaging services were severely impacted and patients in need of breast imaging services were encouraged to seek care at alternative locations if possible.",First Week,Oncology; General Surgery,Health Records,7
Breast Imaging During a Cyberattack and Global Pandemic: What We Did to Pick Up the Pieces,https://www.sciencedirect.com/science/article/pii/S0887217122000750,Breast patients turned away from appointments,"Patients due to have breast imaging for cancer screening were turned away from appointments, due to the cyberattack disrupting scheduling software and imaging systems.","Within breast imaging, we primarily rely upon scheduling software integrated into the EHR for our daily operations. However, access to this information became unavailable when the downtime commenced. Fortunately, we had access to a printed patient schedule at one of our breast imaging facilities. Subsequently, a few days into the cyberattack, limited access to a read-only version of patient scheduling software was made available. Although this provided knowledge of who was scheduled for imaging, it did not provide patient contact information. Utilizing this information, staff attempted to contact as many patients as possible to notify them of the limitations in breast imaging, and to assure them that once hospital systems were running, that they would be contacted to reschedule their appointments. Unfortunately, many patients could not be contacted, and had to be turned away once they arrived to their appointments unaware of our imaging limitations.   **Quote 2**: In the initial hours of the cyberattack downtime, without clarity around what was happening, the patients presenting for breast imaging, unless emergent, were turned away and told they would be reschedule for a later date. Upon realizing that our medical center had been the victim of a cyberattack, staff worked quickly to lock historical studies on the mammography and ultrasound modalities so as to safely preserve as much patient data as possible. As the mammography and ultrasound modalities are somewhat isolated from the hospital network, it was initially thought that some breast imaging could proceed safely, although without the ability to transmit images to PACS for long-term storage.",First Week,Oncology,Booking Systems,6
Breast Imaging During a Cyberattack and Global Pandemic: What We Did to Pick Up the Pieces,https://www.sciencedirect.com/science/article/pii/S0887217122000750,"Delays in mammography screening results, exceeding 30 day limit","Due to limitations in performing, storing and reporting radiological images, mammography scans were reported with delay exceeding the mandated 30-day limit, potentiating negative effects for those with new occurrence of breast cancer.","We elected to resume performing screening mammography for patients who presented for their appointments, explaining to them that the interpretation of their imaging would be delayed until the systems had been fully restored. Once the imaging was performed, these cases were also locked on the modalities for safe storage. Ultimately, these cases could not be interpreted until the downtime ended, which was beyond the Food and Drug Administration (FDA) and Mammography Quality and Standards Act (MQSA) mandated 30 day limit for patient results communication. It was therefore necessary to communicate with officials from the FDA to notify them of this violation and the associated surrounding circumstances.",First Month,Oncology,Imaging,6
Clinicians' experiences and reflections from a health system cyberattack,https://accpjournals.onlinelibrary.wiley.com/doi/abs/10.1002/jac5.1423,Electronic medication delivery systems malfunction and lose safeguards for preventing prescribing errors,"Digital medication administration systems, such as Pyxis and smart pumps rely on integrated electronic systems. The loss of these prevented staff from matching mediations to the right patients, hindering medication administration and raising the risk of adverse medication events due to lost safeguards.","Medication use is managed through integrated electronic systems, including order entry, medication administration records (MARs), Pyxis, smart pumps, and medication advisors with clinical decision support (CDS). // Medication administration was significantly impacted including the loss of many electronic safeguards. For example, the bar code medication administration system could not be used to verify the appropriate match of patient and medication. Override functions had to be turned on for many medications in order to maintain the use of Pyxis for accessibility and safety functions tied to medication profiling were not functional. Medication double-checks had to be performed and documented manually. The Pyxis system did capture medication removal, but this had to be manually reconciled afterwards for billing and inventory management. Smart pump technology still allowed for use of calculations and guardrails, because the existing data libraries were maintained. However, those devices did not communicate with EHR during the outage. Pharmacists were significantly involved in ensuring timely medication distribution. Medication orders were communicated by phone or fax, profiled, and verified manually. Medication labels were created by hand. // More complex systems, such as automated decision support, calculator, and advisory systems were not easily replicated in paper format and were not available. Our institution maintains hard copies of required drug information references as required by state law. These were still available, though not as easily accessible to providers as electronic resources. Some practitioners utilized third-party drug information resources on remote devices.",First Day,All,ePrescribing,6
Clinicians' experiences and reflections from a health system cyberattack,https://accpjournals.onlinelibrary.wiley.com/doi/abs/10.1002/jac5.1423,"Loss of automated treatment protocols, e.g. for heparin administration. ","Hospitals are transitioning to digital advisory tools for determining patient treatments, such as the use of heparin advisory tools based on blood test results. As staff become dependant on these systems, this creates a vulnerability where loss of these systems may prevent treatment of related conditions - the authors give the example of heparin administration and vancomycin protocols.","Our institution had transitioned from a manual nurse-driven protocol based on activated partial thromboplastin time (aPTT) directly to an automated advisory tool based on Xa levels within the previous year. Nurses enter measured Xa levels into the computer, which then recommends changes in heparin administration. Before the attack, nurses and other providers did not have good familiarity with the automated system's specific rules and functionality. When the advisor went offline, nurses voiced far more comfort in using an older manual protocol where they fully understood the rationale, calculations, and incremental dosing changes instead of the newer system that was more automized. We suggest that as more care functions are computerized, the provider's ability to be fully knowledgeable and skilled in those functions will diminish.",First Day,All,ePrescribing,6
Consequences of the Change Healthcare Cyberattack Continue,https://www.pharmacytimes.com/view/consequences-of-the-change-healthcare-cyberattack-continue,Leaked personal information,Data breach leads to leaked personal health information and risk of identity theft,"Data from the incident show that an estimated one-third of Americans had their health information leaked. CHC is unable to confirm what specific data were involved with the leak, but possibilities include contact information, health insurance information, protected health information, or billing identification such as Social Security numbers.",First Week,All,Health Records,4
Coping with contagions: maintaining infection prevention and control in an Irish tertiary hospital during COVID and a debilitating nationwide ransomware virus in May 2021,https://www.journalofhospitalinfection.com/article/S0195-6701(21)00212-7/fulltext,Impacted infection control systems raise risk of ‘superbugs’ e.g. CPE,"The cyberattack impacted the usual surveillance undertaken as part of infection prevention and control (IPC), thus raising the risk of hospital based infections and superbugs for patients.","The Infection Prevention and Control (IPC) was similarly affected. Ward-based clinical surveillance rounding normally occurs two to three times daily to assess patients and to implement controls and precautions. However, inability to access IPC software showing ‘alert patients’ meant greater reliance on comprehensive clinical history taking, IPC checklists and cross-checking of patient charts for historical microbiology reports. Communication with primary care was often required to obtain relevant clinical information. Recurrent outbreaks of CPE have occurred at UHL [4], thus it was important to maintain admission screening of patients as per national guidance. Unfortunately, point prevalence ward screening and environmental monitoring had to cease",Week 2,All,Hospital Infrastructure,6
Cyber-attacks on health-care systems,https://pubmed.ncbi.nlm.nih.gov/36934730/,Intimate images of patients leaked onto internet,Intimate images of patients leaked onto internet,The hackers released three clinical images of people with cancer receiving radiation oncology treatment at the LVHN Delta Medix facility and seven documents containing patient information on the dark web.,First Week,Oncology,Health Records,5
"Cyberattack at Dax hospital: Presentation of the facts, consequences and feedback",https://pubmed.ncbi.nlm.nih.gov/36028420/,Cancer treatment procedures for pain or hormone sensitive cancers delayed,"Treatments were stratified according to Curie Institutes COVID strategy, meaning certain treatments were cancelled or delayed, including those for pain or hormone sensitive cancers.","Once treatment ended, patients returned to *** for follow-up. New patients requiring care before March 2021 were treated as new at other centers. Some treatments (e.g., for pain or hormone-sensitive cancers) were postponed based on protocols (e.g., Curie Institute’s COVID strategy).",First Week,Oncology,ePrescribing,7
"Cyberattack at Dax hospital: Presentation of the facts, consequences and feedback",https://pubmed.ncbi.nlm.nih.gov/36028420/,Halted radiotherapy for cancer patients,"Radiotherapy had to be cancelled at the hospital due to impacts of the cyberattack on health records, radiotherapy linear accelerators and treatment protocols.","The Dax cyberattack completely halted radiotherapy services for a month and forced nearly all patients to be treated elsewhere. This event highlighted vulnerabilities in the hospital's IT network. The rising number of cyberattacks is a growing reality that can affect any institution. These risks must be incorporated into risk management plans, including externalized backups. There may also be a need to reconsider the “paperless” approach and identify essential records to keep physically.
 In highly digitized fields like radiation oncology, attacks are becoming easier. Dax’s data (patients, accelerators, TPS) have always been managed by hospital IT staff. Daily backups are made in duplicate with weekly magnetic tape copies. Since the attack, the radiotherapy team now maintains an additional offline backup on external disks with machine and R&V system parameters. More paper records (e.g., first consultations, treatment summaries) are also archived to supplement existing files.",First Week,Oncology,ePrescribing,7
"Cyberattack on the National Health Laboratory Service of South Africa - implications, response and recommendations",https://doi.org/10.7196/SAMJ.2024.v114i12.2549,Medicolegal issues relating to improper use of patient data,"Clinicians adopt other measures for communicating vital patient data, potentially compromising ethical and legal standards, putting patient data at further risk","Test results were distributed by unconventional means, including Gmail-type email services, social media and electronic platforms, which may be in violation of the Protection of Personal Information Act 4 of 2013.[11] Delayed access to critical results and decreased access to all tests may also lead to medicolegal implications from aggrieved patients and their families.
",First Week,All,Communications,4
"Cyberattack on the National Health Laboratory Service of South Africa - implications, response and recommendations",https://doi.org/10.7196/SAMJ.2024.v114i12.2549,Turnaround time for Full blood count (FBC) tests doubles,"Delays in the laboratory lead to slower turnaround times, particularly for commonly used and vital tests like full/complete blood count.","Turnaround times (TAT) for all analytes were immediately prolonged, and in most cases doubled. For instance, the TAT for full blood counts in hospital, which should be <2 hours, increased to 4 hours after the cyberattack.
",First Day,All,Laboratory Systems,7
Dealing with digital paralysis: Surviving a cyberattack in a National Cancer center,https://www.sciencedirect.com/science/article/pii/S2213538323000838,Biochemistry blood testing falls by 90%,Loss of laboratory IT systems leads to major decreases in blood testing for patient samples. Impacting clinical care for patients dependant on these results,"Initially, all Windows based IT systems used by the laboratory were shut down (Fig. 2). For example, the Biochemistry laboratory at CUH lost approximately 90% of its capacity to process specimens. With the input of 10–12 members of staff, the Biochemistry laboratory processed approximately 40 specimens per hour in the period in the first week following the attack, in contrast to the regular capacity of 4000 specimens typically processed per day",First Hour,All,Laboratory Systems,7
Dealing with digital paralysis: Surviving a cyberattack in a National Cancer center,https://www.sciencedirect.com/science/article/pii/S2213538323000838,Failures in Biochem Quality Management Systems,"The loss of the Quality Management System in the laboratory for several weeks, raises the risks of incorrect results and treatment errors","Previously, middleware suppliers had insisted that no antiviral software be employed as it slowed down the system rendering them vulnerable. The quality management system did not return until September 2021, which may have impacted patient outcomes resulting in unnecessary treatment or treatment complications and unnecessary follow-up testing.",First Month,All,Laboratory Systems,6
Dealing with digital paralysis: Surviving a cyberattack in a National Cancer center,https://www.sciencedirect.com/science/article/pii/S2213538323000838,Persistent delays in tumour histopathology results,Laboratory staff that issues with histopathology results for cancer patients persisted for 7 months after the cyberattack onset,"Histopathology reporting was delayed. The average time from breast cancer surgery to the complete reporting of pathology in the four weeks prior, during and after the cyberattack ranged from 7 days to 15 and 12 days [23]. It took 7 months to fully restore impacted data storage and to ensure accurate capture of all pathology tests performed in the affected period.",First Month,All,Laboratory Systems,7
